M T L International;1Z091YW70399485816;2016/2/15;MI;48393;24;40;8;;3.25
M T L International;1Z091YW70399176829;2016/2/15;PA;18032;5;10;8;;3.25
M T L International;1Z091YW70395158632;2016/2/15;MI;48629;24;40;8;;3.25
M T L International;1Z091YW70396370650;2016/2/15;MN;55021;24;38;7;;
M T L International;1Z091YW70395740298;2016/2/15;NY;11741;8;8;8;;3.25
M T L International;1Z091YW70396561917;2016/2/15;OH;44313;8;8;8;;3.25
M T L International;1Z091YW70398440928;2016/2/15;MS;39455;8;8;7;;3.25
M T L International;1Z091YW70399650735;2016/2/15;SC;29550;8;9;8;;3.25
M T L International;1Z091YW70397455343;2016/2/15;TX;77573;24;40;6;;3.25
M T L International;1Z091YW70397535435;2016/2/15;NM;88345;24;38;5;;3.25
M T L International;1Z091YW70397155453;2016/2/15;WA;99301;24;45;5;;
M T L International;1Z091YW70396867534;2016/2/15;TX;79043;17;27;5;;3.25
M T L International;1Z091YW70395263554;2016/2/15;TX;78249;17;27;6;;3.25
M T L International;1Z091YW70395481925;2016/2/15;NM;87113;24;40;5;;3.25
M T L International;1Z091YW70397918978;2016/2/15;WY;82727;24;38;5;;3.25
M T L International;1Z091YW70396267852;2016/2/15;OR;97801;11;11;5;;3.25
M T L International;1Z091YW70397603076;2016/2/15;TX;79403;9;9;5;;3.25
M T L International;1Z091YW70396138161;2016/2/16;CA;90023;5;10;2;;3.25
M T L International;1Z091YW70397940130;2016/2/16;CA;92833;24;42;2;;3.25
M T L International;1Z091YW70397783284;2016/2/16;CA;95334;24;43;3;;
M T L International;1Z091YW70398170621;2016/2/17;CA;91941;9;9;2;;3.25
M T L International;1Z091YW70398582098;2016/2/17;CA;91340;24;40;2;;3.25
M T L International;1Z091YW70395631772;2016/2/17;CA;93314;17;27;2;;3.25
M T L International;1Z091YW70396955877;2016/2/17;CA;92555;24;42;2;;3.25
